group;main_unit_off;main_unit_ps;main_unit_fid
group 7;ВЛ-35кВ Ф-3                                         ПС 110/35/6 Кошильская;110;3
group 7;"ВЛ-6кВ Ф-4                                         ПС 35/6 ""КНС-8""";КНС-8;4
group 7;"ВЛ 1106 кВ ""Варьёган-Меридиан""           I-цепь";Варьёган-Меридиан;
group 7;"ВЛ-5 кВ Ф-3,5                                  ПС 110 ""Северо-Хохряковская"" ";Северо-Хохряковская;
group 7;"  ВЛ-6кВ Ф-15 ПС 35/6 ""КНС-3""";КНС-3;15
group 7;"  ВЛ-6кВ Ф-4 ПС 35/6 ""К-131""";К-131;4
group 7;"ВЛ 110 кВ ""Варьёган-Бахилы""           ";Варьёган-Бахилы;
group 7;"ВЛ-35кВ Ф-2,5                                       ПС 110/35/6 ""Бахиловская""";Бахиловская;
group 7;"ВЛ 110 кВ ""Варьёган-Бахилы""           1-я цепь          ";Варьёган-Бахилы;
group 7;"ВЛ 110 кВ ""Варьёган-Бахилы""           1-я цепь          ";Варьёган-Бахилы;
group 7;"ВЛ 6 кВ Ф-17                                     РУ-6кВ №1 ""КНС-4""                   ";КНС-4;17
group 7;"ВЛ 220 кВ ""Варьёган-Вынгапур""                     ";Варьёган-Вынгапур;
group 7;"ВЛ 220 кВ ""Зима-Вынгапур""                     ";Зима-Вынгапур;
group 7;"ВЛ-35кВ Ф-4                                       ПС 110/35/10 ""КС-Хохряковская""";КС-Хохряковская;4
group 7;" ПС 35/6кВ ""К-310"" 1-я СШ 6 кВ";К-310;
group 7;"  ПС 110/35/6 ""Ермаковская""";Ермаковская;
group 7;"ВЛ 6 кВ Ф-6                                            ПС 35/6кВ ""КНС-1""                    ";КНС-1;6
group 7;"ВЛ-35 кВ Ф-1,4                                  ПС 110 ""Верхнеколик-Ёганская"" ";Верхнеколик-Ёганская;
group 7;"  ВЛ-35 кВ Ф-3,5                                 ПС 110/35/6 ""Кошильская""              ";Кошильская;
group 7;" ПС 35/6кВ ""Малочерногорская"" ";Малочерногорская;
group 7;"  ВЛ-35 кВ Ф-7                                 ПС 110/35/6 ""Кошильская""              ";Кошильская;7
group 7;"  ПП 110  ""Кирьяновская""";;
group 7;"ВЛ-35 кВ Ф-2,3                                  ПС 110 ""Верхнеколик-Ёганская"" ";Верхнеколик-Ёганская;
group 7;"ВЛ-6кВ Ф-20,8 ПС 35/6кВ ""К-20"" ";К-20;
group 7;"  ВЛ 110  ""Варьёган-Бахилы""              I-цепь";Варьёган-Бахилы;
group 7;"  ВЛ 110  ""Истоминская-Мачтовая""              II-цепь";Истоминская-Мачтовая;
group 7;"  ВЛ 110  ""Варьёган-Бахилы""              I-цепь";Варьёган-Бахилы;
group 7;"  ВЛ 110  ""Варьёган-Бахилы""              I-цепь";Варьёган-Бахилы;
group 7;"           ПС 35/6кВ ""К-51""                    ";К-51;
group 7;"  ВЛ-35 кВ Ф-4                                 ПС 110/35/6 ""Кошильская""              ";Кошильская;4
group 7;"  ВЛ-6 кВ Ф-12                                      ПС /35/6 ""БКНС-2""              ";БКНС-2;12
group 7;"  ВЛ-6 кВ Ф-4                                      ПС /35/6 ""Южная""              ";Южная;4
group 7;"  ВЛ-6 кВ Ф-8,16                                      ПС /35/6 ""Гвардейская""              ";Гвардейская;
group 7;"  ПП 110  ""Кирьяновская""";;
group 7;"  ВЛ -35 кВ Ф-2,5 ПС 110/35/6 кВ   ""Бахиловская""             ";Бахиловская;
group 7;"         ВЛ-6 кВ Ф-2                                    ПС 35/6кВ ""КНС-3А""                    ";КНС-3А;2
group 14;"
ВЛ-6кВ ""209-14""
";209-14;14
group 7;"ВЛ-6кВ Ф-6, 7 ПС 35/6кВ ""К-457""";К-457;
group 7;ПС-35/6 БКНС-4 ВЛ-6кВ ф-5;бкнс-4;5
group 7;ВЛ-6кВ Ф-16, РУ-6кВ;;
group 7;ВЛ-6кВ Ф-14 ПС 35/6кВ Пермяковская;35;14
group 7;"ВЛ-6кВ Ф-14 ПС 35/6кВ ""Кошильская""";Кошильская;14
group 7;"ВЛ-6кВ ф-10 ПС 35/6 ""Центральная""";Центральная;10
group 7;"ВЛ-6кВ ф-5 ПС 35/6 ""БКНС-4""";БКНС-4;5
group 7;"ВЛ-6кВ ф-4 ПС 35/6 ""Северная""";Северная;4
group 7;"ВЛ-35кВ ф-1,3 ПС 110/35/6 ""Пермяк""";Пермяк;
group 7;"ВЛ-35кВ ф-1,2,3,4 ПС 110/35/10 ""КС-Хохряковская""";КС-Хохряковская;
group 7;"ВЛ-6кВ ф-16 ПС 35/6 ""К-8 м/ч""";К-8 м/ч;16
group 7;"ВЛ-6кВ ф-4 ПС 35/6 ""ЦПС""";ЦПС;4
group 7;"ВЛ-35кВ Ф-1,2 ПС 110/36 ""КНС-5""";КНС-5;
group 7;"ВЛ-35кВ Ф-2,4 ПС-110/36кВ ""Северно-Хохряковская""";Северно-Хохряковская;
group 7;"МВ-35кВ №1,4 ПС 35/6кВ ""КНС-1""";КНС-1;
group 7;"ВЛ-35кВ ф-3 ПС 110/35/6 ""Кошильская""";Кошильская;3
group 7;"ВЛ-6кВ ф-1 ПС 35/6 ""КСП-2""";КСП-2;1
group 7;"ВЛ-35кВ Ф-3 ПС 110/36/6кВ ""Каскад""";Каскад;3
group 7;"ВЛ-35кВ ф-2,4 ПС 110/35/6 ""Северно-Хохряковская""";Северно-Хохряковская;
group 7;"ВЛ-35кВ ф-4,5 ПС 110/35/6 ""Кошильская""";Кошильская;
group 7;ВЛ-110кВ Варьеган-Бахиловская 1;;
group 7;"ВЛ-6кВ ф-4,5,6 ПС 35/6 ""457""";457;
group 7;ВЛ-220кВ Зима-Вынгапур;;
